Session ID,Class Name,Grade Range,Instructor,Day of Week,Time,Start Date,End Date,Number of Classes,Location,Cost,Program Overview,Detail URL
554386,Fridays Makerz Creativity Lab,Grades 3rd - 8th,Maker Studio,Friday,3:30 PM - 4:30 PM,1/16/2026,5/29/2026,12,CAIS K - 8th,$585.00,"Wrap up the week with imagination, color, and creativity! In Fridays Makerz Creativity Lab, young makers get to dive into hands-on, open-ended projects that blend art, science, and sensory play. Each week features a new creative theme — from spa science experiments and resin art to mini home décor and sensory crafts. Kids will mix, pour, sculpt, and design while exploring textures, scents, and materials in exciting new ways. Projects may include making fizzy bath bombs, glittery resin coasters, calm jars or clay sculptures— all designed to spark curiosity and confidence. With guidance from our Maker Mentors, students can follow their inspiration and personalize each creation. The Makerz Creativity Lab is the perfect Friday afternoon reset — fun, relaxing, and full of creative discovery!",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=554386&campCode=cis
553960,Lower School Literary Magazine,Grades 4th - 5th,Jun Niu [CAIS LS Librarian],Tuesday,3:30 PM - 4:30 PM,1/13/2026,5/12/2026,16,CAIS K - 8th,"$1,075.00","Tuesday: (16 classes) Jan. 13, 20, 27; Feb. 3, 10, 24; Mar. 3, 10, 17, 24, 31; Apr. 14, 21, 28; May 5, 12. Join the Lower School Literary Magazine Club! Is your child a storyteller, artist, or designer at heart? The LS Literary Magazine Afterschool Club is a creative space where Grade 4 and 5 students work together to design and publish our very own CAIS Lower School Literary Magazine—a bilingual collection showcasing the best student writing and artwork from across the school, in both Chinese and English. Students learn how to select pieces, design layouts using Canva, and bring ideas to life through color, words, and imagination. It’s a fun blend of collaboration, creativity, and real-world publishing experience! If your child loves to write, draw, or design—or simply enjoys creating beautiful things—this club is the perfect fit.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=553960&campCode=cis
547395,Bilingual Robotics G4 - G7 [S26],Grades 4th - 7th,Edwin Chen,Monday,3:30 PM - 4:30 PM,1/12/2026,6/8/2026,18,CAIS K - 8th,"$1,035.00","This program is designed for upper elementary and middle school students (Grades 4–7) who are ready to dive deeper into the world of robotics and artificial intelligence. Students will explore mechanical design, electronic circuits, programming logic, and AI applications through hands-on, project-based learning. They will build, code, and present their own smart robots while strengthening both their technical and language skills. In this course, students will: - Learn how sensors, motors, and controllers work together in a robot - Program intelligent behaviors using visual coding and beginner Python - Discover how AI is used in voice recognition, self-driving, and image detection - Collaborate on a final project and present it in both English and Chinese Classes and materials are fully bilingual (English + Chinese), helping students enhance both their global communication and technical understanding. By the end of the course, students will: - Strengthen their foundation in engineering and programming - Develop logical thinking and problem-solving abilities - Understand real-world AI concepts and their applications - Build creativity, confidence, and teamwork through innovation This program prepares students for advanced STEM learning and future robotics competitions.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=547395&campCode=cis
549710,Drone Explorers,Grades 3rd - 8th,Lee Le,Wednesday,3:30 PM - 4:30 PM,1/14/2026,6/10/2026,20,CAIS K - 8th,"$1,290.00","After-School Drone Explorers is a hands-on, engaging program designed for students to explore drone technology in the context of save the world’s environment, water sustainability, disaster relief, and environmental innovation. This program offers students an exciting, collaborative space to develop drone flying skills, learn about real-world applications, and apply technology creatively to pressing water-related challenges. Students will: - Learn and practice foundational drone flight skills through guided workshops - Experience immersive flying using FPV drones and master control techniques - Collaborate in project teams to research, design, and present solutions using drone technology for social good - Participate in drone flying challenges and community-focused innovation exercises - Engage with experts and mentors who provide insights into drone technology and environmental applications Social Impact Project: Throughout the program, students will be guided to design and prototype drone-based solutions addressing water sustainability and related issues in their communities. This encourages leadership, problem-solving, and teamwork while fostering a deep understanding of drone technology’s potential for positive change. Instructor Qualifications: This program is guided by an experienced instructor holding an advanced degree/master’s, with years of expertise in drone technology and extensive experience working with children. Students will benefit from knowledgeable mentorship ensuring safe, effective learning and meaningful skill development in drone flight and applications.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=549710&campCode=cis
549829,3D Printing Innovation Workshop,Grades 1st - 5th,Lee Le,Thursday,3:30 PM - 4:30 PM,1/15/2026,6/4/2026,17,CAIS K - 8th,"$1,095.00","This engaging STEM enrichment program introduces students to the exciting world of 3D printing technology. Combining hands-on design and engineering skills with creativity, students will learn to use 3D modeling software to create their own digital designs. They will then bring these designs to life using real 3D printers, exploring the entire process from conceptualization to fabrication. Students will: - Learn basic 3D design principles using kid-friendly software such as Tinkercad - Create custom objects and prototypes, including keychains, figurines, and simple engineering models - Understand the mechanics and materials of 3D printers, including filament types and printer operation - Participate in collaborative projects to design solutions for real-world challenges - Develop problem-solving, spatial reasoning, and engineering thinking skills Social Impact Project At the end of the program, students will work together on a guided social impact project, applying their 3D printing skills to design and prototype innovative solutions to community or environmental issues. This project fosters teamwork, creativity, and leadership, empowering students to use technology for positive change. What makes this class unique This program bridges creativity with cutting-edge technology to give students a tangible way to explore STEM concepts. It emphasizes iterative design, hands-on learning, and real-world applications. The curriculum is fully differentiated to accommodate all skill levels, ensuring each student gains mastery and confidence in 3D design and printing.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=549829&campCode=cis
550391,Microbit Robotics & AI Enrichment class,Grades 1st - 5th,Unknown,Friday,3:30 PM - 4:30 PM,1/16/2026,6/5/2026,14,CAIS K - 8th,$900.00,"This innovative STEM enrichment program elevates hands-on learning to a new level by combining the creativity and versatility of the BBC Micro: bit microcontroller with the excitement of Bittle X—a palm-sized, programmable robot dog designed for cutting-edge STEMand robotics education. Students will: - Build and code interactive Microbit projects: custom digital name tags, music and heart bots, and wireless games - Advance into robotics and AI by integrating Microbits with Bittle X, learning block-based and Python coding, voice control, and movement commands - Assemble and program Bittle X robot dogs, exploring extensions such as voice commands, app-controlled actions, and plug-and-play sensor upgrades - Participate in engineering challenges, robot competitions, and creative problem-solving activities using both Microbits and Bittle X Social Impact Project: At the end of the program, students will collaborate on a guided social impact project, applying their Microbit and Bittle X skills to address real-world challenges in their community or environment. They will design, prototype, and present innovative solutions that leverage the concepts of robotics, programming, and AI learned during the camp. This project promotes teamwork, critical thinking, and leadership skills, empowering students to use technology creatively to make a positive difference. What makes this class unique is its dual focus: - The Microbit promotes creativity and computational thinking, while Bittle X brings robotics concepts to life with real-world sensors. - AI-ready functions, and the ability to program advanced behaviors (voice, motion, and more). - Curriculum is fully differentiated by grade and skill level, ensuring every student—whether beginner or experienced—learns programming, robotics engineering, and AI foundations in a fun, collaborative setting. Moreover, parents will receive regular updates, project galleries, and highlights of their child’s progress.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=550391&campCode=cis
552939,Pokemon: Build & Battle,Grades 3rd - 5th,VAC,Monday,3:30 PM - 4:30 PM,1/12/2026,6/8/2026,18,CAIS K - 8th,$800.00,"Monday: (18 classes) Jan. 12, 26; Feb. 2, 9, 23; Mar. 2, 9, 16, 23, 30; Apr. 13, 20, 27; May 4, 11, 18; Jun. 1, 8. Welcome to Pokémon: Build & Battle, where the world of Pokémon meets math, literacy, and strategic thinking! This program invites young trainers to explore the art of building powerful Pokémon trading card decks, while developing essential skills in problem-solving, mathematics, literacy, and strategic decision-making. Students will have the chance to battle each other within a fun, competitive, and supportive learning environment. Each day will focus on building different aspects of the game—deck construction, understanding card abilities, math for calculating damage, reading comprehension for card details, and strategy for winning battles. By the end of the program, students will participate in a culminating tournament where they can showcase their skills! *please note proxies will be used for this program",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=552939&campCode=cis
546284,Spring Cooking with Baker's Stand [K - G8],Grades Kindergarten - 8th,Fiona Kwee,Monday,4:30 PM - 5:30 PM,1/12/2026,6/8/2026,16,CAIS K - 8th,"$1,098.00","Monday: (16 classes) Jan. 12, 26; Feb. 2, 23; Mar. 2, 9, 23, 30; Apr. 13, 20, 27; May 4, 11, 18; Jun. 1, 8., [No Class on 2/9, 3/16] Spring Cooking Class with Baker’s Stand Give your young chef a delicious start to spring! Our after-school cooking class is designed especially for curious kids who love to create, taste, and explore. Each week, students dive into a new theme inspired by the season, from fresh herbs and colorful vegetables to fruity desserts and picnic favorites. In our cozy, hands-on studio kitchen, children will learn real cooking techniques such as chopping, mixing, kneading, and baking all in a supportive environment. Every class highlights creativity and confidence, encouraging students to experiment with flavors and presentation while having fun with their peers. By the end of the program, your child will have built strong kitchen skills, learned healthy habits, and gained the pride of creating their own spring-inspired dishes from scratch.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=546284&campCode=cis
546926,Baking Basics & Themed Treats,Grades Kindergarten - 8th,Chef Mo,Tuesday,5:00 PM - 6:00 PM,1/13/2026,6/9/2026,20,CAIS K - 8th,"$1,060.00","Tuesday: (20 classes) Jan. 13, 20, 27; Feb. 3, 10, 24; Mar. 3, 10, 17, 24, 31; Apr. 14, 21, 28; May 5, 12, 19, 26; Jun. 2, 9. In this fun, technique-focused baking class, young chefs will move beyond simple decorating and dive into the true art of baking. This skill-building experience combines essential kitchen techniques with festive, seasonal recipes—adding a little extra magic to every class. Throughout the course, students will gain confidence in the kitchen as they learn foundational baking skills and explore the science behind both sweet and savory treats. Each week, we’ll focus on core techniques such as: - Measuring by weight vs. volume - Properly creaming butter and sugar - Understanding mixing methods - Making and rolling various doughs - Whisking and folding - Piping with pastry bags and tips -Ingredient functions and smart substitutions Young bakers will whip up a variety of tasty treats, including muffins, scones, cookies, cupcakes, mini pies, and more—all in a safe, supportive, and mess-friendly environment where creativity can flourish. No prior experience is required—just a love of baking and a big imagination! Whether your child dreams of running a bakery or simply enjoys experimenting in the kitchen, this class will equip them with valuable skills to use and enjoy for years to come.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=546926&campCode=cis
560062,Elementary Speech & Debate [S26],Grades 4th - 5th,"Graysen, Athens Debate",Tuesday,3:30 PM - 5:30 PM,1/27/2026,5/19/2026,14,CAIS K - 8th,"$1,715.00",,https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=560062&campCode=cis
546909,Food Detectives: Unlocking the hidden flavors!,Grades Kindergarten - 8th,Chef Mo,Wednesday,3:30 PM - 4:30 PM,1/14/2026,6/10/2026,20,CAIS K - 8th,"$1,060.00","Wednesday: (20 classes) Jan. 14, 21, 28; Feb. 4, 11, 25; Mar. 4, 11, 18, 25; Apr. 1, 15, 22, 29; May 6, 13, 20, 27; Jun. 3, 10. Flavor Detectives: Unlocking the hidden flavors! In this class, your young chef will tap into their senses and connect with food on a whole new level. They will be put to the challenge by their fellow chefs to spot secret ingredients in every dish we create. Each week, a group of chefs will choose a secret ingredient to add to that day's recipe. The rest of the class will be the flavor detectives and will have to identify the secret ingredient relying only on their senses of smell and taste. It’s a fun, interactive class that will help your young chef sharpen their taste buds and their investigative skills. A deliciously fun adventure to decode the mysteries of food and become expert ingredient detectives awaits! Warning: Will cause the development of super human taste buds. Eye mask included!",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=546909&campCode=cis
546352,Gardening 101,Grades Kindergarten - 8th,Joey Silberman [CAIS Staff],Wednesday,3:30 PM - 4:30 PM,1/14/2026,5/27/2026,18,CAIS K - 8th,$600.00,"Wednesday: (18 classes) Jan. 14, 21, 28; Feb. 4, 11, 25; Mar. 4, 11, 18, 25; Apr. 1, 15, 22, 29; May 6, 13, 20, 27. Gardening 101 introduces students to the joys of growing and caring for plants while fostering a deeper appreciation for nature, sustainability, and healthy eating. Each week, students will explore hands-on gardening projects such as planting seeds, maintaining raised garden beds, learning about composting, and understanding plant life cycles. The class emphasizes experiential learning: students will get their hands dirty, track plant growth in journals, and engage in small group collaborations to design and maintain sections of the school garden. We’ll also introduce environmental science concepts, like pollination, soil health, and the water cycle, in age-appropriate and engaging ways. By the end of the term, students will take home their own potted plant and a deeper understanding of how their actions can positively impact the environment. What makes this class unique: - Hands-on outdoor learning experience - Integration of science, art, and environmental responsibility - Encourages mindfulness, patience, and teamwork - Students see real results from their efforts week to week",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=546352&campCode=cis
553289,"DnD, Dungeons & Dragons [S26]",Grades 3rd - 5th,"Tu Nguyen, VAC",Thursday,3:30 PM - 4:30 PM,1/15/2026,6/4/2026,17,CAIS K - 8th,$765.00,"Thursday: (17 classes) Jan. 15, 22, 29; Feb. 5, 26; Mar. 5, 12, 19, 26; Apr. 16, 23, 30; May 7, 14, 21, 28; Jun. 4. Have you ever wanted to play the nationally-known game Dungeons and Dragons? Stretch your imagination telling stories with your friends, and build useful creative skills? What about play the game they do in Stranger Things? Well this is your chance! In this class, we'll be exploring collaborative storytelling through Dungeons and Dragons. Along the way, we'll develop social and emotional skills that will serve us well outside of the RPG.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=553289&campCode=cis
553958,Chinese Pop Song Singing Class,Grades 3rd - 5th,Cindy Huang (CAIS Music Teacher),Friday,3:35 PM - 4:20 PM,1/16/2026,6/5/2026,14,CAIS K - 8th,$560.00,"Friday: (14 classes) Jan. 16, 23, 30; Feb. 6, 27; Mar. 6, 13; Apr. 17, 24; May 1, 8, 15, 29; Jun. 5. Chinese Pop Song Singing Class [Taught in Mandarin] In this fun and engaging Chinese Pop Song Singing Class, students in Grades 3–5 will explore the world of contemporary Chinese pop music while developing confidence, vocal technique, and language skills. This class is fully taught in Mandarin Chinese, and students will learn to sing in Chinese, helping them strengthen both their listening and speaking abilities in an authentic and enjoyable way. Each week, students will learn popular, age-appropriate Chinese pop songs that children love today—ranging from trending hits to classic favorites. I will also encourage students to share the Chinese songs they enjoy outside of class, allowing them to feel ownership and excitement in the learning process. Together, we will practice melody, rhythm, pronunciation, and performance skills in a supportive environment. A unique feature of this class is our focus on music + language integration. Students learn not only how to sing but also the meaning behind lyrics, common vocabulary, and cultural background of the songs. Through lively singing activities, call-and-response practice, and small-group performances, students naturally build confidence and fluency in Mandarin. By the end of the course, students will: - Learn several full Chinese pop songs - Improve pronunciation and understanding of Mandarin lyrics - Gain confidence in singing and performing - Develop an appreciation for modern Chinese music and culture",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=553958&campCode=cis
546248,DF Knight Spring Chess Class: G4 - G8,Grades 4th - 8th,David Flores - DF_Knights,Friday,4:30 PM - 5:30 PM,1/16/2026,6/5/2026,14,CAIS K - 8th,"$1,160.00","Friday: (14 classes) Jan. 16, 23, 30; Feb. 6, 27; Mar. 6, 13; Apr. 17, 24; May 1, 8, 15, 29; Jun. 5. Through our meticulously crafted lessons, students learn to anticipate multiple outcomes, and make informed decisions under pressure. These skills are invaluable, not just on the chessboard, but in everyday life. By embracing the challenges and opportunities presented by chess, our students develop resilience, patience, and the confidence to face any obstacle. Every chess class is new and comes with high cognitive benefits!",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=546248&campCode=cis
546288,Spring Cooking with Baker's Stand [G1 - G8],Grades 1st - 8th,Fiona Kwee,Friday,3:30 PM - 4:30 PM,1/16/2026,6/5/2026,14,CAIS K - 8th,$960.00,"Friday: (14 classes) Jan. 16, 23, 30; Feb. 6, 27; Mar. 6, 13; Apr. 17, 24; May 1, 8, 15, 29; Jun. 5. Spring Cooking Class with Baker’s Stand Give your young chef a delicious start to spring! Our after-school cooking class is designed especially for curious kids who love to create, taste, and explore. Each week, students dive into a new theme inspired by the season, from fresh herbs and colorful vegetables to fruity desserts and picnic favorites. In our cozy, hands-on studio kitchen, children will learn real cooking techniques such as chopping, mixing, kneading, and baking all in a supportive environment. Every class highlights creativity and confidence, encouraging students to experiment with flavors and presentation while having fun with their peers. By the end of the program, your child will have built strong kitchen skills, learned healthy habits, and gained the pride of creating their own spring-inspired dishes from scratch.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=546288&campCode=cis
546199,Bucketeers: Percussion for Kids [S26],Grades Kindergarten - 5th,"Eric Wu, Bucketeers",Monday,4:00 PM - 4:45 PM,1/12/2026,6/8/2026,17,CAIS K - 8th,$615.00,"Monday: (17 classes) Jan. 12, 26; Feb. 9, 23; Mar. 2, 9, 16, 23, 30; Apr. 13, 20, 27; May 4, 11, 18; Jun. 1, 8. [no class 2/2] Bucketeers use an innovative color-coded system applied to five-gallon buckets to allow children to learn & experience the art of percussion. Special multi-rod drumsticks help keep the volume down and seat cushions provide a comfortable experience. Benefits include forging a foundation in rhythm, playing with a steady pulse, learning a variety of patterns, participating in collaborative movement activities, and developing hand-eye coordination. Students play along with a diverse set of music: children’s, pop, rock, jazz, and multi-genre songs in several languages incorporating beats and patterns from around the world. Each class doubles as a rehearsal building towards an end-of-session performance. Drummers will be introduced to several music skills and concepts throughout the session including: Stick Technique Dynamics Song Structure Improvisation Call & Response Tempo Melody Timbre",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=546199&campCode=cis
554044,Hip Hop Dance Class: G4 - G5 [S26],Grades 4th - 5th,Orina Lee,Monday,3:30 PM - 4:30 PM,1/12/2026,6/8/2026,18,CAIS K - 8th,$900.00,"Monday: (18 classes) Jan. 12, 26; Feb. 2, 9, 23; Mar. 2, 9, 16, 23, 30; Apr. 13, 20, 27; May 4, 11, 18; Jun. 1, 8. Get ready to move and groove! This fun, high-energy class teaches hip-hop basics, fun combos, and freestyle moves. Dancers build confidence, coordination, and creativity!",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=554044&campCode=cis
559626,Beginning Violin Class,Grades 3rd - 8th,Golden Gate Philharmonic (GGP) Musicians,Monday,3:30 PM - 4:30 PM,1/26/2026,5/18/2026,15,CAIS K - 8th,$715.00,"Monday: (15 classes) Jan. 26; Feb. 2, 9, 23; Mar. 2, 9, 16, 23, 30; Apr. 13, 20, 27; May 4, 11, 18. Join our Beginning Violin Class for children ages 8 and up! This engaging course introduces essential violin techniques, including bowing, finger placement, and posture, to help young musicians build a solid foundation. Students will also learn music-reading skills, exploring notes, rhythms, and basic music theory through fun and interactive methods. Class Structure: - Taught by qualified instructors who are professional musicians - Small class size: 5 students per teacher - For children ages 8+ with no experience required Pre-requisite: - Must be over 8 years of age - Will require their own instruments. We recommend the following instrument rental locations: Bronstein Music - South San Francisco https://www.bronsteinmusic.com/ Exploring Music - Inner Richmond, SF https://exploringmusicusa.com/instrument-rentals/",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=559626&campCode=cis
554087,Lower School Chinese Music Ensemble [S26],Grades 3rd - 5th,Luan Laoshi / Zhao Laoshi,Wednesday,3:15 PM - 4:15 PM,1/14/2026,6/10/2026,20,CAIS K - 8th,$840.00,"Wednesday: (20 classes) Jan. 14, 21, 28; Feb. 4, 11, 25; Mar. 4, 11, 18, 25; Apr. 1, 15, 22, 29; May 6, 13, 20, 27; Jun. 3, 10. ::Class Taught in Chinese:: For students who have played in the CAIS Chinese music ensemble and are continuing with private lessons. Admission with prior approval from Zhao Laoshi is required. Please contact Zhao Laoshi prior to registration at folkmelody@gmail.com",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=554087&campCode=cis
554088,Chinese Music Younger Ensemble [S26],Grades 3rd - 5th,Luan Laoshi / Zhao Laoshi,Thursday,3:15 PM - 4:15 PM,1/15/2026,6/4/2026,17,CAIS K - 8th,$720.00,"Thursday: (17 classes) Jan. 15, 22, 29; Feb. 5, 26; Mar. 5, 12, 19, 26; Apr. 16, 23, 30; May 7, 14, 21, 28; Jun. 4. ::All lessons conducted in Chinese:: For students who have played Chinese musical instruments more than one year and are continuing with private lessons. Admission with prior approval from Zhao Laoshi is required. Please contact Zhao Laoshi prior to registration at folkmelody@gmail.com",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=554088&campCode=cis
554461,Tenacious Tennis Academy: Monday,Grades Kindergarten - 8th,Unknown,Monday,3:30 PM - 5:15 PM,1/12/2026,6/8/2026,18,CAIS K - 8th,"$1,425.00","This is an OFF Campus class at Tenacious Tennis Academy @Lake Merced Boulevard at State Drive Tenacious Tennis Academy afterschool class offers a fun, high-energy environment where young athletes build strong tennis fundamentals, improve coordination, and develop confidence on and off the court. Students will be grouped by their skill levels. Through guided drills, students learn proper technique, teamwork, and sportsmanship—all while staying active and having a great time after school. Pick-ups and drop-offs provided by Tenacious Academy Depart from CAIS: 3:30 PM Return to CAIS: 5:30 PM [or directly pick up from Tenacious] Monday: (18 classes) Jan. 12, 26; Feb. 2, 9, 23; Mar. 2, 9, 16, 23, 30; Apr. 13, 20, 27; May 4, 11, 18; Jun. 1, 8.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=554461&campCode=cis
